name,persugarincal
100% Bran,34.3
100% Natural Bran,26.7
All-Bran,28.6
All-Bran with Extra Fiber,0.0
Almond Delight,29.1
Apple Cinnamon Cheerios,36.4
Apple Jacks,50.9
Basic 4,24.6
Bran Chex,26.7
Bran Flakes,22.2
Cap'n'Crunch,40.0
Cheerios,3.6
Cinnamon Toast Crunch,30.0
Clusters,25.5
Cocoa Puffs,47.3
Corn Chex,10.9
Corn Flakes,8.0
Corn Pops,43.6
Count Chocula,47.3
Cracklin' Oat Bran,25.5
Cream of Wheat (Quick),0.0
Crispix,10.9
Crispy Wheat & Raisins,40.0
Double Chex,20.0
Froot Loops,47.3
Frosted Flakes,40.0
Frosted Mini-Wheats,28.0
Fruit & Fibre Dates; Walnuts; and Oats,33.3
Fruitful Bran,40.0
Fruity Pebbles,43.6
Golden Crisp,60.0
Golden Grahams,32.7
Grape Nuts Flakes,20.0
Grape-Nuts,10.9
Great Grains Pecan,13.3
Honey Graham Ohs,36.7
Honey Nut Cheerios,36.4
Honey-comb,40.0
Just Right Crunchy  Nuggets,21.8
Just Right Fruit & Nut,25.7
Kix,10.9
Life,24.0
Lucky Charms,43.6
Maypo,12.0
Muesli Raisins; Dates; & Almonds,29.3
Muesli Raisins; Peaches; & Pecans,29.3
Mueslix Crispy Blend,32.5
Multi-Grain Cheerios,24.0
Nut&Honey Crunch,30.0
Nutri-Grain Almond-Raisin,20.0
Nutri-grain Wheat,8.9
Oatmeal Raisin Crisp,30.8
Post Nat. Raisin Bran,46.7
Product 19,12.0
Puffed Rice,0.0
Puffed Wheat,0.0
Quaker Oat Squares,24.0
Quaker Oatmeal,-4.0
Raisin Bran,40.0
Raisin Nut Bran,32.0
Raisin Squares,26.7
Rice Chex,7.3
Rice Krispies,10.9
Shredded Wheat,0.0
Shredded Wheat 'n'Bran,0.0
Shredded Wheat spoon size,0.0
Smacks,54.5
Special K,10.9
Strawberry Fruit Wheats,22.2
Total Corn Flakes,10.9
Total Raisin Bran,40.0
Total Whole Grain,12.0
Triples,10.9
Trix,43.6
Wheat Chex,12.0
Wheaties,12.0
Wheaties Honey Gold,29.1