City,Salary
Atlanta,"51,685.87"
Austin,"81,436.81"
Baltimore,"64,780.63"
Birmingham,"43,576.53"
Boston,"108,549.91"
Buffalo,"45,410.41"
Charlotte,"54,843.46"
Chicago,"65,035.38"
Cincinnati,"42,787.23"
Cleveland,"40,706.02"
Columbus,"49,712.18"
Dallas,"63,870.33"
Denver,"86,878.76"
Detroit,"46,032.67"
Hartford,"65,237.37"
Houston,"59,721.03"
Indianapolis,"42,411.12"
Jacksonville,"55,098.43"
Kansas City,"49,052.70"
Las Vegas,"57,822.63"
Los Angeles,"118,039.11"
Louisville,"40,999.88"
Memphis,"43,059.19"
Miami,"77,848.94"
Milwaukee,"58,293.81"
Minneapolis,"62,210.80"
Nashville,"54,614.13"
New Orleans,"47,789.88"
New York City,"106,797.90"
Oklahoma City,"38,795.36"
Orlando,"59,220.22"
Philadelphia,"61,300"
Phoenix,"59,411.33"
Pittsburgh,"35,734.47"
Portland,"82,960.07"
Providence,"73,809.89"
Raleigh,"60,456.64"
Richmond,"56,161.32"
Riverside/San Bernardino,"78,967.15"
Sacramento,"79,876.17"
Salt Lake City,"68,013.10"
San Antonio,"56,276.59"
San Diego,"124,662.01"
San Francisco,"198,134.28"
San Jose,"238,440.59"
Seattle,"106,652.91"
St Louis,"43,684.07"
Tampa,"54,325.25"
Virginia Beach,"51,182.51"
"Washington, D.C.","89,097.66"