Earthquakes,Floods,Storms,Landslides,Wildfires,Entity,Year
912204,670720,777608,59195,4270,World,2010
202752,1209286,297752,2000,14182,World,2011
29002,222538,695397,3368,1290,World,2012
14540,246991,54882,0,7263,World,2013
24070,1257973,74621,7865,258,World,2014
195230,168658,234269,11590,13245,World,2015
29741,2250027,163179,1000,8807,World,2016
8891,90772,467542,2355,20872,World,2017
74295,327384,12000,300,3237,World,2018
8714,19842,352330,570,7941,World,2019
28590,671118,3811,250,0,World,2020